home,away,p_H,p_D,p_A,pred,conf
Club Necaxa,Cruz Azul,0.32866666666666666,0.43333333333333335,0.23800000000000002,D,0.43333333333333335
Atlante,Club León,0.3947222222222223,0.3233333333333333,0.28194444444444444,H,0.3947222222222223
Club Tijuana,Pumas UNAM,0.45633333333333337,0.26,0.2836666666666666,H,0.45633333333333337
Atlas Guadalajara,Gallos Blancos,0.21619999999999998,0.54,0.2438,D,0.54
CF Pachuca,Deportivo Guadalajara,0.3735111111111111,0.36333333333333334,0.2631555555555556,H,0.3735111111111111
CF América,Puebla FC,0.36241111111111113,0.3566666666666667,0.2809222222222222,H,0.36241111111111113
Santos Laguna,UANL Tigres,0.43285555555555555,0.20333333333333334,0.3638111111111111,H,0.43285555555555555
Deportivo Toluca,FC Juárez,0.2966666666666667,0.5,0.2033333333333333,D,0.5
CF Monterrey,Atlético San Luis,0.4658333333333334,0.2833333333333333,0.2508333333333333,H,0.4658333333333334
